Métodos de Optimización, 100, 1
3, D, 
4, D, 
5, D, 

Análisis Numérico Computacional 2, 427, 3
1, D, 
2, D, 
3, D, 

Geometría Analítica del Espacio, 428, 1
1, D, 

Python para Data Science, 429, 3
1, D, 
2, D, 
3, D, 

DevOps y Metodologías Ágiles 5, 430, 2
1, D, 
2, D, 

Visión por Computador con OpenCV, 431, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Python para Data Science, 432, 4
1, D, 
2, D, 
3, D, 
4, D, 

Emprendimiento Tecnológico y Startups 3, 433, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack 1, 434, 1
1, D, 

Álgebra Lineal Aplicada, 435, 3
1, D, 
2, D, 
3, D, 

Probabilidad y Estadística para Ingeniería, 436, 1
1, D, 

Análisis Numérico Computacional 2, 437, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics, 438, 4
1, D, 
2, D, 
3, D, 
4, D, 

Cloud Computing con AWS 3, 439, 3
1, D, 
2, D, 
3, D, 

Lógica Matemática y Computacional, 440, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ciberseguridad Avanzada y Hacking Ético 2, 441, 3
1, D, 
2, D, 
3, D, 

Programación Avanzada en C++, 442, 1
1, D, 

Análisis Numérico Computacional, 443, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java 5, 444, 4
1, D, 
2, D, 
3, D, 
4, D, 

Geometría Analítica del Espacio 4, 445, 3
1, D, 
2, D, 
3, D, 

Redes de Computadores, 446, 1
1, D, 

Álgebra Lineal Aplicada, 447, 3
1, D, 
2, D, 
3, D, 

Algoritmos y Complejidad 5, 448, 4
1, D, 
2, D, 
3, D, 
4, D, 

Criptografía y Seguridad, 449, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación 3, 450, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de Grafos Aplicada, 451, 1
1, D, 

Ciberseguridad Avanzada y Hacking Ético, 452, 2
1, D, 
2, D, 

Análisis Numérico Computacional, 453, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 454, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 455, 1
1, D, 

Física para Ingenieros II, 456, 2
1, D, 
2, D, 

Teoría de la Computación 2, 457, 1
1, D, 

Ingeniería de Software Práctica 4, 458, 1
1, D, 

Geometría Analítica del Espacio, 459, 1
1, D, 

Diseño de Experiencia de Usuario, 460, 1
1, D, 

Robótica Industrial, 461, 1
1, D, 

Cloud Computing con AWS, 462, 4
1, D, 
2, D, 
3, D, 
4, D, 

Química Orgánica Básica, 463, 4
1, D, 
2, D, 
3, D, 
4, D, 

Inteligencia Artificial Moderna, 464, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 465, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación, 466, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Química Orgánica Básica 2, 467, 2
1, D, 
2, D, 

Arquitectura de Computadores y Ensamblador, 468, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Estructuras de Datos Avanzadas, 469, 3
1, D, 
2, D, 
3, D, 

Machine Learning Práctico 5, 470, 2
1, D, 
2, D, 

Ecuaciones Diferenciales Ordinarias 4, 471, 2
1, D, 
2, D, 

Álgebra Lineal Aplicada, 472, 4
1, D, 
2, D, 
3, D, 
4, D, 

Contenedores con Docker, 473, 3
1, D, 
2, D, 
3, D, 

Computación Cuántica, 474, 2
1, D, 
2, D, 

Programación Avanzada en C++ 1, 475, 3
1, D, 
2, D, 
3, D, 

Bases de Datos Distribuidas 2, 476, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Investigación de Operaciones 1, 477, 1
1, D, 

DevOps y Metodologías Ágiles 4, 478, 2
1, D, 
2, D, 

Internet de las Cosas con Arduino, 479, 1
1, D, 

Ética en Tecnología e IA 4, 480, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Estructuras de Datos Avanzadas 5, 481, 3
1, D, 
2, D, 
3, D, 

Métodos de Optimización, 482, 4
1, D, 
2, D, 
3, D, 
4, D, 

Criptografía y Seguridad, 483, 3
1, D, 
2, D, 
3, D, 

Game Development con Unity, 484, 1
1, D, 

Robótica Industrial, 485, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 486, 4
1, D, 
2, D, 
3, D, 
4, D, 

Algoritmos y Complejidad, 487, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 488, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ética en Tecnología e IA, 489, 3
1, D, 
2, D, 
3, D, 

Geometría Analítica del Espacio, 490, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I 4, 491, 1
1, D, 

Big Data y Analytics 2, 492, 1
1, D, 

Marketing Digital Estratégico, 493, 3
1, D, 
2, D, 
3, D, 

Gestión Ágil de Proyectos, 494, 4
1, D, 
2, D, 
3, D, 
4, D, 

Marketing Digital Estratégico, 495, 1
1, D, 

Python para Data Science, 496, 2
1, D, 
2, D, 

Emprendimiento Tecnológico y Startups, 497, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes, 498, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 499, 3
1, D, 
2, D, 
3, D, 

Seguridad Informática Empresarial, 500, 4
1, D, 
2, D, 
3, D, 
4, D, 

Robótica Industrial, 501, 3
1, D, 
2, D, 
3, D, 

Algoritmos y Complejidad, 502, 3
1, D, 
2, D, 
3, D, 

Redes de Computadores, 503, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Computación Cuántica 5, 504, 1
1, D, 

Bases de Datos Distribuidas 3, 505, 2
1, D, 
2, D, 

Cálculo Diferencial e Integral 1, 506, 2
1, D, 
2, D, 

Deep Learning con TensorFlow, 507, 3
1, D, 
2, D, 
3, D, 

Contenedores con Docker, 508, 1
1, D, 

Diseño de Experiencia de Usuario, 509, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Bases de Datos Distribuidas, 510, 1
1, D, 

Computación Cuántica 1, 511, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cálculo Diferencial e Integral 4, 512, 3
1, D, 
2, D, 
3, D, 

Teoría de Grafos Aplicada, 513, 2
1, D, 
2, D, 

Testing y Quality Assurance 5, 514, 4
1, D, 
2, D, 
3, D, 
4, D, 

Gestión Ágil de Proyectos, 515, 2
1, D, 
2, D, 

Blockchain y Criptomonedas 4, 516, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Arquitectura de Microservicios, 517, 3
1, D, 
2, D, 
3, D, 

Bases de Datos Distribuidas 5, 518, 4
1, D, 
2, D, 
3, D, 
4, D, 

Lógica Matemática y Computacional, 519, 1
1, D, 

Desarrollo Web Full Stack, 520, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 521, 2
1, D, 
2, D, 

Probabilidad y Estadística para Ingeniería, 522, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 523, 4
1, D, 
2, D, 
3, D, 
4, D, 

Inteligencia Artificial Moderna, 524, 2
1, D, 
2, D, 

Sistemas Operativos Modernos, 525, 2
1, D, 
2, D, 

Diseño de Experiencia de Usuario, 526, 4
1, D, 
2, D, 
3, D, 
4, D, 

Geometría Analítica del Espacio, 527, 3
1, D, 
2, D, 
3, D, 

Diseño de Compiladores 1, 528, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Game Development con Unity, 529, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance 2, 530, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance, 531, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Blockchain y Criptomonedas 2, 532, 1
1, D, 

Bases de Datos Distribuidas, 533, 3
1, D, 
2, D, 
3, D, 

Diseño de Compiladores 1, 534, 1
1, D, 

Ingeniería de Software Práctica, 535, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Python para Data Science, 536, 2
1, D, 
2, D, 

Internet de las Cosas con Arduino, 537, 3
1, D, 
2, D, 
3, D, 

Física para Ingenieros I 2, 538, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Orquestación con Kubernetes, 539, 3
1, D, 
2, D, 
3, D, 

Blockchain y Criptomonedas, 540, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Álgebra Lineal Aplicada 3, 541, 2
1, D, 
2, D, 

Arquitectura de Computadores y Ensamblador, 542, 2
1, D, 
2, D, 

Cloud Computing con AWS, 543, 1
1, D, 

Orquestación con Kubernetes, 544, 1
1, D, 

Física para Ingenieros II, 545, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Microservicios, 546, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores 2, 547, 2
1, D, 
2, D, 

Marketing Digital Estratégico, 548, 2
1, D, 
2, D, 

Diseño de Compiladores, 549, 2
1, D, 
2, D, 

Diseño de Experiencia de Usuario, 550, 3
1, D, 
2, D, 
3, D, 

Estructuras de Datos Avanzadas, 551, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 552, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ciberseguridad Avanzada y Hacking Ético, 553, 2
1, D, 
2, D, 

E-commerce y Negocios Digitales, 554, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación 4, 555, 2
1, D, 
2, D, 

Programación Orientada a Objetos en Java, 556, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 557, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación, 558, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores 4, 559, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 560, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java 4, 561, 1
1, D, 

Ciberseguridad Avanzada y Hacking Ético, 562, 4
1, D, 
2, D, 
3, D, 
4, D, 

Python para Data Science, 563, 1
1, D, 

E-commerce y Negocios Digitales, 564, 2
1, D, 
2, D, 

Procesamiento de Lenguaje Natural 4, 565, 2
1, D, 
2, D, 

Big Data y Analytics, 566, 2
1, D, 
2, D, 

Lógica Matemática y Computacional 4, 567, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

E-commerce y Negocios Digitales, 568, 3
1, D, 
2, D, 
3, D, 

Ingeniería de Software Práctica, 569, 2
1, D, 
2, D, 

Seguridad Informática Empresarial, 570, 3
1, D, 
2, D, 
3, D, 

Blockchain y Criptomonedas 1, 571, 2
1, D, 
2, D, 

Ética en Tecnología e IA, 572, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Algoritmos y Complejidad, 573, 3
1, D, 
2, D, 
3, D, 

Computación Cuántica, 574, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ciberseguridad Avanzada y Hacking Ético, 575, 2
1, D, 
2, D, 

Programación Orientada a Objetos en Java, 576, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 577, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 578, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Computadores y Ensamblador 5, 579, 1
1, D, 

Contenedores con Docker 1, 580, 2
1, D, 
2, D, 

Programación Orientada a Objetos en Java 5, 581, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS, 582, 3
1, D, 
2, D, 
3, D, 

Deep Learning con TensorFlow, 583, 3
1, D, 
2, D, 
3, D, 

Algoritmos y Complejidad 2, 584, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 585, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Química Orgánica Básica, 586, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Física para Ingenieros I, 587, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores 2, 588, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Gestión Ágil de Proyectos, 589, 1
1, D, 

Emprendimiento Tecnológico y Startups, 590, 3
1, D, 
2, D, 
3, D, 

Marketing Digital Estratégico 3, 591, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros II, 592, 1
1, D, 

Procesamiento de Lenguaje Natural, 593, 1
1, D, 

Procesamiento de Lenguaje Natural 3, 594, 4
1, D, 
2, D, 
3, D, 
4, D, 

Machine Learning Práctico, 595, 4
1, D, 
2, D, 
3, D, 
4, D, 

Blockchain y Criptomonedas 3, 596, 3
1, D, 
2, D, 
3, D, 

E-commerce y Negocios Digitales, 597, 3
1, D, 
2, D, 
3, D, 

Física para Ingenieros I, 598, 2
1, D, 
2, D, 

Álgebra Lineal Aplicada 2, 599, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de la Computación 3, 600, 3
1, D, 
2, D, 
3, D, 

Robótica Industrial 2, 601, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Computadores y Ensamblador, 602, 3
1, D, 
2, D, 
3, D, 

Internet de las Cosas con Arduino, 603, 2
1, D, 
2, D, 

Química Orgánica Básica 3, 604, 2
1, D, 
2, D, 

Game Development con Unity 2, 605, 1
1, D, 

Investigación de Operaciones, 606, 3
1, D, 
2, D, 
3, D, 

Lógica Matemática y Computacional 5, 607, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Estructuras de Datos Avanzadas, 608, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Programación Avanzada en C++ 3, 609, 1
1, D, 

Estructuras de Datos Avanzadas 4, 610, 3
1, D, 
2, D, 
3, D, 

Métodos de Optimización, 611, 4
1, D, 
2, D, 
3, D, 
4, D, 

Internet de las Cosas con Arduino, 612, 2
1, D, 
2, D, 

Cálculo Diferencial e Integral 2, 613, 4
1, D, 
2, D, 
3, D, 
4, D, 

Química Orgánica Básica 1, 614, 4
1, D, 
2, D, 
3, D, 
4, D, 

Marketing Digital Estratégico 3, 615, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 616, 1
1, D, 

Física para Ingenieros II, 617, 4
1, D, 
2, D, 
3, D, 
4, D, 

DevOps y Metodologías Ágiles, 618, 4
1, D, 
2, D, 
3, D, 
4, D, 

Teoría de la Computación 2, 619, 3
1, D, 
2, D, 
3, D, 

Contenedores con Docker, 620, 4
1, D, 
2, D, 
3, D, 
4, D, 

Criptografía y Seguridad, 621, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Análisis Numérico Computacional, 622, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 623, 4
1, D, 
2, D, 
3, D, 
4, D, 

Procesamiento de Lenguaje Natural, 624, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Computadores y Ensamblador, 625, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 626, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack, 627, 1
1, D, 

Python para Data Science 5, 628, 3
1, D, 
2, D, 
3, D, 

Estructuras de Datos Avanzadas, 629, 3
1, D, 
2, D, 
3, D, 

Inteligencia Artificial Moderna 5, 630, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Programación Avanzada en C++ 4, 631, 2
1, D, 
2, D, 

Cloud Computing con AWS 4, 632, 2
1, D, 
2, D, 

Algoritmos y Complejidad 3, 633, 2
1, D, 
2, D, 

Física para Ingenieros II, 634, 3
1, D, 
2, D, 
3, D, 

Procesamiento de Lenguaje Natural, 635, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Seguridad Informática Empresarial, 636, 1
1, D, 

Programación Avanzada en C++ 2, 637, 3
1, D, 
2, D, 
3, D, 

Python para Data Science, 638, 1
1, D, 

Cálculo Diferencial e Integral, 639, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Marketing Digital Estratégico, 640, 2
1, D, 
2, D, 

Blockchain y Criptomonedas, 641, 4
1, D, 
2, D, 
3, D, 
4, D, 

Cloud Computing con AWS 4, 642, 3
1, D, 
2, D, 
3, D, 

Redes de Computadores 5, 643, 4
1, D, 
2, D, 
3, D, 
4, D, 

Game Development con Unity 1, 644, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ingeniería de Software Práctica, 645, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Robótica Industrial, 646, 1
1, D, 

Computación Cuántica, 647, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java, 648, 3
1, D, 
2, D, 
3, D, 

Realidad Virtual y Aumentada, 649, 3
1, D, 
2, D, 
3, D, 

Blockchain y Criptomonedas 2, 650, 1
1, D, 

Robótica Industrial, 651, 2
1, D, 
2, D, 

Lógica Matemática y Computacional, 652, 4
1, D, 
2, D, 
3, D, 
4, D, 

Criptografía y Seguridad, 653, 3
1, D, 
2, D, 
3, D, 

Sistemas Operativos Modernos 2, 654, 1
1, D, 

Internet de las Cosas con Arduino 2, 655, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Lógica Matemática y Computacional, 656, 2
1, D, 
2, D, 

Computación Cuántica, 657, 4
1, D, 
2, D, 
3, D, 
4, D, 

Procesamiento de Lenguaje Natural, 658, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics 4, 659, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Testing y Quality Assurance, 660, 3
1, D, 
2, D, 
3, D, 

Física para Ingenieros II, 661, 1
1, D, 

Redes de Computadores 2, 662, 3
1, D, 
2, D, 
3, D, 

Computación Cuántica, 663, 2
1, D, 
2, D, 

Criptografía y Seguridad, 664, 4
1, D, 
2, D, 
3, D, 
4, D, 

Teoría de la Computación, 665, 1
1, D, 

Física para Ingenieros II, 666, 2
1, D, 
2, D, 

Machine Learning Práctico, 667, 1
1, D, 

Química Orgánica Básica, 668, 1
1, D, 

Emprendimiento Tecnológico y Startups, 669, 1
1, D, 

Diseño de Compiladores, 670, 3
1, D, 
2, D, 
3, D, 

Desarrollo Web Full Stack, 671, 4
1, D, 
2, D, 
3, D, 
4, D, 

Contenedores con Docker, 672, 2
1, D, 
2, D, 

Inteligencia Artificial Moderna 2, 673, 4
1, D, 
2, D, 
3, D, 
4, D, 

Métodos de Optimización, 674, 3
1, D, 
2, D, 
3, D, 

Visión por Computador con OpenCV 4, 675, 1
1, D, 

Marketing Digital Estratégico, 676, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Historia de la Computación 1, 677, 2
1, D, 
2, D, 

Game Development con Unity, 678, 4
1, D, 
2, D, 
3, D, 
4, D, 

Seguridad Informática Empresarial 1, 679, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Arquitectura de Computadores y Ensamblador, 680, 1
1, D, 

Estructuras de Datos Avanzadas, 681, 2
1, D, 
2, D, 

Física para Ingenieros I, 682, 3
1, D, 
2, D, 
3, D, 

Computación Cuántica, 683, 1
1, D, 

Ética en Tecnología e IA, 684, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Lógica Matemática y Computacional, 685, 4
1, D, 
2, D, 
3, D, 
4, D, 

Blockchain y Criptomonedas, 686, 2
1, D, 
2, D, 

Diseño de Experiencia de Usuario 5, 687, 2
1, D, 
2, D, 

Marketing Digital Estratégico 5, 688, 3
1, D, 
2, D, 
3, D, 

Ética en Tecnología e IA, 689, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Visión por Computador con OpenCV, 690, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Algoritmos y Complejidad 3, 691, 1
1, D, 

Robótica Industrial, 692, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance 2, 693, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Geometría Analítica del Espacio, 694, 2
1, D, 
2, D, 

Álgebra Lineal Aplicada, 695, 4
1, D, 
2, D, 
3, D, 
4, D, 

Geometría Analítica del Espacio, 696, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Computadores y Ensamblador 3, 697, 3
1, D, 
2, D, 
3, D, 

Ética en Tecnología e IA 3, 698, 2
1, D, 
2, D, 

Big Data y Analytics, 699, 1
1, D, 

Sistemas Operativos Modernos 4, 700, 1
1, D, 

Criptografía y Seguridad, 701, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics 1, 702, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance, 703, 1
1, D, 

Álgebra Lineal Aplicada, 704, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores, 705, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Geometría Analítica del Espacio, 706, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos, 707, 4
1, D, 
2, D, 
3, D, 
4, D, 

Gestión Ágil de Proyectos, 708, 4
1, D, 
2, D, 
3, D, 
4, D, 

Análisis Numérico Computacional, 709, 3
1, D, 
2, D, 
3, D, 

Ecuaciones Diferenciales Ordinarias 1, 710, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS, 711, 1
1, D, 

Programación Orientada a Objetos en Java 4, 712, 3
1, D, 
2, D, 
3, D, 

Game Development con Unity 4, 713, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos, 714, 3
1, D, 
2, D, 
3, D, 

Análisis Numérico Computacional 1, 715, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 716, 2
1, D, 
2, D, 

Redes de Computadores, 717, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack, 718, 3
1, D, 
2, D, 
3, D, 

Ecuaciones Diferenciales Ordinarias 2, 719, 2
1, D, 
2, D, 

Lógica Matemática y Computacional, 720, 4
1, D, 
2, D, 
3, D, 
4, D, 

Álgebra Lineal Aplicada 2, 721, 2
1, D, 
2, D, 

Arquitectura de Microservicios, 722, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 723, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 724, 3
1, D, 
2, D, 
3, D, 

Realidad Virtual y Aumentada 1, 725, 4
1, D, 
2, D, 
3, D, 
4, D, 

Marketing Digital Estratégico 3, 726, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics, 727, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 728, 1
1, D, 

Álgebra Lineal Aplicada 2, 729, 4
1, D, 
2, D, 
3, D, 
4, D, 

Robótica Industrial, 730, 2
1, D, 
2, D, 

Marketing Digital Estratégico, 731, 3
1, D, 
2, D, 
3, D, 

Bases de Datos Distribuidas, 732, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Machine Learning Práctico, 733, 1
1, D, 

Lógica Matemática y Computacional, 734, 3
1, D, 
2, D, 
3, D, 

Computación Cuántica 2, 735, 3
1, D, 
2, D, 
3, D, 

Robótica Industrial, 736, 1
1, D, 

Estructuras de Datos Avanzadas, 737, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Bases de Datos Distribuidas 1, 738, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics, 739, 3
1, D, 
2, D, 
3, D, 

Gestión Ágil de Proyectos, 740, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación, 741, 1
1, D, 

Diseño de Experiencia de Usuario, 742, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ciberseguridad Avanzada y Hacking Ético, 743, 2
1, D, 
2, D, 

Machine Learning Práctico, 744, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

E-commerce y Negocios Digitales 4, 745, 2
1, D, 
2, D, 

Métodos de Optimización 3, 746, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Física para Ingenieros II, 747, 2
1, D, 
2, D, 

Cloud Computing con AWS 4, 748, 3
1, D, 
2, D, 
3, D, 

Seguridad Informática Empresarial, 749, 4
1, D, 
2, D, 
3, D, 
4, D, 

Emprendimiento Tecnológico y Startups, 750, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Arquitectura de Microservicios, 751, 1
1, D, 

Cálculo Diferencial e Integral 5, 752, 1
1, D, 

Inteligencia Artificial Moderna 2, 753, 4
1, D, 
2, D, 
3, D, 
4, D, 

Contenedores con Docker, 754, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos 1, 755, 1
1, D, 

Desarrollo Web Full Stack, 756, 1
1, D, 

Investigación de Operaciones, 757, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Química Orgánica Básica, 758, 1
1, D, 

Física para Ingenieros II 1, 759, 4
1, D, 
2, D, 
3, D, 
4, D, 

Cálculo Diferencial e Integral, 760, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Arquitectura de Microservicios 5, 761, 4
1, D, 
2, D, 
3, D, 
4, D, 

Gestión Ágil de Proyectos, 762, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Estructuras de Datos Avanzadas 3, 763, 3
1, D, 
2, D, 
3, D, 

Ética en Tecnología e IA, 764, 1
1, D, 

Emprendimiento Tecnológico y Startups, 765, 1
1, D, 

Historia de la Computación 1, 766, 3
1, D, 
2, D, 
3, D, 

Investigación de Operaciones 5, 767, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS, 768, 3
1, D, 
2, D, 
3, D, 

Métodos de Optimización, 769, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Microservicios, 770, 2
1, D, 
2, D, 

Álgebra Lineal Aplicada 1, 771, 4
1, D, 
2, D, 
3, D, 
4, D, 

Bases de Datos Distribuidas, 772, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 773, 2
1, D, 
2, D, 

Historia de la Computación 3, 774, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos, 775, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Contenedores con Docker, 776, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ecuaciones Diferenciales Ordinarias 4, 777, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ciberseguridad Avanzada y Hacking Ético 4, 778, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Robótica Industrial, 779, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

E-commerce y Negocios Digitales, 780, 2
1, D, 
2, D, 

Game Development con Unity, 781, 2
1, D, 
2, D, 

Seguridad Informática Empresarial, 782, 4
1, D, 
2, D, 
3, D, 
4, D, 

Python para Data Science 4, 783, 1
1, D, 

Robótica Industrial, 784, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Contenedores con Docker, 785, 1
1, D, 

Machine Learning Práctico 5, 786, 4
1, D, 
2, D, 
3, D, 
